price,room_type,neighbourhood_cleansed,property_type,host_is_superhost,instant_bookable,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,availability_30,availability_60,availability_90,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,total_reviews_count,days_since_last_review,reviews_last_30_days,reviews_last_90_days,reviews_last_180_days,has_recent_reviews,review_activity_score,host_experience_years,amenities_count,distance_to_center,host_response_rate_num,host_acceptance_rate_num,days_since_first_review,review_density,price_per_person,price_per_bedroom,beds_per_person,number_of_reviews_ltm,number_of_reviews_l30d
335,Entire home/apt,De Pijp - Rivierenbuurt,Entire townhouse,FALSE,FALSE,4,2,3,3,2,117,0.7,1,108,0,0,0,4.71,4.76,4.63,4.95,4.88,4.82,4.56,117,18,3,6,8,TRUE,4.833333333333333,14.250513347022586,56,1.7850805204533549,1,0.74,5096,0.02295918367346939,83.75,111.66666666666667,0.75,9,3
185,Private room,Centrum-Oost,Private room in bed and breakfast,FALSE,FALSE,2,1,1,1,2,86,0.68,3,250,7,24,54,4.92,4.97,4.95,4.95,4.93,4.89,4.75,86,5,3,5,5,TRUE,4,13.86447638603696,50,0.6375873232291184,1,0.81,3868,0.022233712512926575,92.5,185,0.5,5,3
200,Entire home/apt,Centrum-Oost,Entire rental unit,FALSE,FALSE,4,1.5,2,2,4,32,0.2,3,0,0,0,0,4.63,4.69,4.63,4.84,4.88,4.91,4.66,32,894,0,0,0,FALSE,0,13.984941820670773,18,1.1142083574001989,1,0.71,4841,0.006610204503201818,50,100,0.5,0,0
134,Entire home/apt,Centrum-Oost,Entire rental unit,FALSE,FALSE,2,1,1,1,3,6,0.04,3,0,0,0,0,4.83,4.8,5,5,5,5,5,6,899,0,0,0,FALSE,0,13.984941820670773,18,1.3230701794312096,1,0.71,4641,0.001292824822236587,67,134,0.5,0,0
325,Entire home/apt,Centrum-West,Entire rental unit,FALSE,FALSE,2,1,1,1,5,100,0.61,1,307,2,9,32,4.79,4.75,4.8,4.91,4.93,4.93,4.64,100,52,0,2,4,FALSE,1.3333333333333333,13.648186173853524,47,3.0179234341678494,1,0.46,4977,0.020092425155716295,162.5,325,0.5,8,0
271,Entire home/apt,Centrum-Oost,Entire rental unit,FALSE,FALSE,3,1,1,0,2,112,0.69,1,176,26,56,86,4.58,4.65,4.23,4.58,4.79,4.56,4.32,112,250,0,0,0,FALSE,0,13.522245037645447,11,1.020604407839129,0,0.33,4996,0.02241793434747798,90.33333333333333,271,0,2,0
299,Entire home/apt,Centrum-Oost,Entire condo,FALSE,FALSE,2,1.5,1,1,5,23,0.19,1,358,23,53,83,5,4.96,4.87,4.96,5,5,4.78,23,138,0,0,2,FALSE,0.3333333333333333,13.505817932922655,40,0.6294492807208857,0.4,0.44,3804,0.006046267087276551,149.5,299,0.5,3,0
228,Private room,De Pijp - Rivierenbuurt,Private room in houseboat,FALSE,FALSE,2,1,1,1,3,94,0.58,1,2,2,2,2,4.66,4.66,4.53,4.75,4.57,4.85,4.43,94,683,0,0,0,FALSE,0,13.483915126625599,21,1.4547503345953536,1,0.71,4958,0.018959257765227916,114,228,0.5,0,0
287,Entire home/apt,Westerpark,Entire rental unit,FALSE,FALSE,4,1.5,3,4,1,0,NA,1,2,0,0,2,4.93,4.93,4.88,4.99,5,4.9,4.7,0,60,0,0,0,FALSE,0,13.429158110882957,11,3.570018152714565,1,0.71,844.5,0,71.75,95.66666666666667,1,0,0
124,Entire home/apt,Oostelijk Havengebied - Indische Buurt,Entire condo,FALSE,FALSE,3,1,1,1,2,92,0.57,1,1,0,0,0,4.89,4.92,4.77,4.99,4.98,4.8,4.77,92,18,1,1,5,TRUE,1.6666666666666667,13.86173853524983,48,3.4647204018361903,1,0.7,4957,0.018559612668952997,41.333333333333336,124,0.3333333333333333,6,1
63,Entire home/apt,Bos en Lommer,Entire condo,FALSE,FALSE,3,0,2,4,5,24,0.15,1,18,2,7,18,4.82,4.95,4.86,4.95,5,4.86,4.95,24,25,1,1,1,TRUE,1,13.470225872689939,20,5.3640727891872775,1,0.33,4868,0.0049301561216105174,21,31.5,1.3333333333333333,2,1
170,Entire home/apt,Zuid,Boat,FALSE,FALSE,4,1,2,2,3,141,0.87,1,9,0,0,0,4.88,4.87,4.81,4.92,4.89,4.67,4.72,141,9,2,3,7,TRUE,3.1666666666666665,13.374401095140314,54,6.756902008944731,1,0.71,4954,0.02846184901090028,42.5,85,0.5,7,2
158,Entire home/apt,Oostelijk Havengebied - Indische Buurt,Entire home,FALSE,FALSE,4,2,3,3,4,45,0.28,1,22,0,0,0,4.64,4.69,4.44,4.84,4.84,4.76,4.62,45,39,0,2,2,FALSE,1,13.371663244353183,57,4.384412323174017,1,1,4882,0.009217533797623925,39.5,52.666666666666664,0.75,3,0
250,Private room,De Baarsjes - Oud-West,Private room in bed and breakfast,FALSE,FALSE,2,1.5,1,1,1,28,0.18,1,88,28,58,88,4.86,4.89,4.89,4.93,4.96,4.89,4.79,28,2446,0,0,0,FALSE,0,13.284052019164955,27,3.2755259308086626,0,0,4865,0.0057553956834532375,125,250,0.5,0,0
500,Entire home/apt,Centrum-West,Entire rental unit,FALSE,FALSE,4,1,2,3,2,62,0.39,1,87,30,57,87,4.74,4.72,4.66,4.82,4.9,4.81,4.34,62,2279,0,0,0,FALSE,0,13.267624914442163,36,2.8658654470331943,1,0,4915,0.01261444557477111,125,250,0.75,0,0
215,Entire home/apt,Noord-Oost,Entire condo,FALSE,FALSE,4,1.5,1,2,2,1,0.01,1,341,30,49,79,5,5,5,5,5,4,4,1,2377,0,0,0,FALSE,0,13.256673511293634,42,10.758447829817158,1,0,2473,4.043671653861706e-4,53.75,215,0.5,0,0
175,Entire home/apt,Zuid,Entire rental unit,FALSE,FALSE,4,1.5,2,1,3,104,0.65,1,43,1,7,7,4.37,4.53,4.1,4.73,4.57,4.64,4.16,104,32,0,2,4,FALSE,1.3333333333333333,13.253935660506503,52,6.04376846283846,1,0.46,4929,0.021099614526273076,43.75,87.5,0.25,4,0
350,Entire home/apt,Centrum-West,Entire rental unit,FALSE,FALSE,2,1,1,1,3,31,0.2,1,69,22,48,69,4.87,4.9,4.81,4.87,4.87,4.87,4.68,31,104,0,0,1,FALSE,0.16666666666666666,13.25119780971937,20,2.362880285012191,0.75,0.06,4838,0.0064076064489458455,175,350,0.5,1,0
126,Entire home/apt,Buitenveldert - Zuidas,Entire rental unit,FALSE,FALSE,2,1,1,1,3,28,0.18,2,0,0,0,0,4.62,4.75,4.54,4.71,4.96,4.57,4.5,28,508,0,0,0,FALSE,0,13.196440793976729,24,5.2917820135377704,0,0.71,4841,0.005783928940301591,63,126,0.5,0,0
187,Entire home/apt,Slotervaart,Entire rental unit,FALSE,FALSE,6,1.5,3,1,3,13,0.09,1,112,0,0,22,4.77,4.92,4.77,4.62,5,4.38,4.46,13,48,0,1,1,FALSE,0.5,13.160848733744011,42,6.780704635508018,1,0.5,4466,0.002910882221227049,31.166666666666668,62.333333333333336,0.16666666666666666,1,0
180,Entire home/apt,De Baarsjes - Oud-West,Entire condo,FALSE,FALSE,2,1,1,1,3,61,0.39,1,256,1,1,1,4.89,4.92,4.87,4.9,4.95,4.82,4.89,61,16,3,3,4,TRUE,3.1666666666666665,13.149897330595483,21,5.52140789760183,1,0.62,4789,0.012737523491334307,90,180,0.5,5,3
280,Entire home/apt,Zuid,Entire rental unit,FALSE,FALSE,4,2,4,1,2,29,0.18,1,10,8,10,10,4.93,4.9,4.72,4.93,5,4.59,4.62,29,422,0,0,0,FALSE,0,13.149897330595483,23,6.329072050182342,1,0.71,4887,0.005934110906486597,70,70,0.25,0,0
212,Entire home/apt,Westerpark,Entire rental unit,FALSE,FALSE,2,1,1,1,3,34,0.22,1,75,15,45,75,4.97,4.88,4.94,4.97,5,4.76,4.68,34,325,0,0,0,FALSE,0,13.1854893908282,26,4.294286310016686,1,0.4,4838,0.007027697395618024,106,212,0.5,1,0
225,Entire home/apt,De Pijp - Rivierenbuurt,Entire rental unit,FALSE,FALSE,2,1,1,1,3,70,0.45,1,0,0,0,0,4.99,4.99,4.99,4.96,4.97,4.94,4.86,70,46,0,1,3,FALSE,0.8333333333333334,13.486652977412732,34,1.9930094466671804,1,0.92,4801,0.014580295771714226,112.5,225,0.5,5,0
184,Entire home/apt,Centrum-West,Entire rental unit,FALSE,FALSE,2,1,1,1,5,108,0.69,1,287,8,23,53,4.71,4.77,4.19,4.92,4.89,4.91,4.56,108,30,1,3,3,TRUE,2,12.91170431211499,48,2.5437259969772468,1,0.56,4790,0.02254697286012526,92,184,0.5,4,1
590,Entire home/apt,Westerpark,Boat,FALSE,FALSE,4,2,3,3,2,92,0.6,3,208,2,15,25,4.85,4.85,4.78,4.88,4.93,4.8,4.62,92,18,1,7,12,TRUE,4.833333333333333,12.889801505817934,77,3.90979833348203,1,1,4704,0.0195578231292517,147.5,196.66666666666666,0.75,15,1
255,Entire home/apt,De Baarsjes - Oud-West,Entire condo,FALSE,FALSE,4,1,3,4,3,18,0.13,1,2,0,0,0,4.89,5,4.89,5,4.89,4.94,4.61,18,25,1,1,2,TRUE,1.1666666666666667,12.980150581793293,53,5.817334739775621,1,0.57,4176,0.004310344827586207,63.75,85,1,3,1
295,Entire home/apt,Westerpark,Entire rental unit,FALSE,FALSE,2,2,1,1,3,84,0.57,1,190,0,0,0,4.83,4.93,4.89,4.93,4.93,4.86,4.76,84,91,0,0,1,FALSE,0.16666666666666666,12.941820670773442,51,3.131173263586588,0.8,1,4485,0.018729096989966554,147.5,295,0.5,1,0
118,Entire home/apt,De Baarsjes - Oud-West,Entire rental unit,FALSE,FALSE,4,1,2,2,4,18,0.12,1,125,0,0,0,4.83,4.83,4.67,4.94,5,4.67,4.5,18,2032,0,0,0,FALSE,0,12.785763175906913,9,4.756122036543987,1,0,4729,0.0038063015436667373,29.5,59,0.5,0,0
112,Private room,Noord-West,Private room in home,FALSE,FALSE,2,1,1,0,2,21,0.14,2,134,4,10,30,5,4.95,4.95,5,5,4.86,4.81,21,42,0,2,7,FALSE,1.8333333333333333,12.670773442847365,40,4.943953752540204,1,0.9,4621,0.004544470893745943,56,112,0,11,0
172,Private room,Centrum-Oost,Private room in bed and breakfast,FALSE,FALSE,2,1,1,1,2,82,0.74,2,275,3,13,35,4.99,4.96,4.96,4.98,5,4.98,4.91,82,73,0,1,3,FALSE,0.8333333333333334,12.659822039698836,23,1.6620343544428524,1,0.74,3430,0.0239067055393586,86,172,0.5,4,0
235,Private room,Centrum-Oost,Private room in bed and breakfast,FALSE,FALSE,2,1.5,0,1,2,83,0.55,2,279,6,14,41,4.99,4.96,5,4.99,5,4.96,4.88,83,11,1,2,5,TRUE,2,12.659822039698836,19,1.6619983010798154,1,0.74,4591,0.018078849923763886,117.5,235,0.5,10,1
